trait	Welch-ANOVA p-value	Method	adjusted Welch-ANOVA p-value	CSR categories	Remarks_CSR
X1	1.9571838564026982e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	C	-
X10	4.3374499367167246e-4	One-way analysis of means (not assuming equal variances)	0.002060288719940444	SR	-
X11	0.026827095269841096	One-way analysis of means (not assuming equal variances)	0.0318571756329363	CSR	-
X12	3.641323832273427e-5	One-way analysis of means (not assuming equal variances)	0.0010377772921979266	S	-
X13	0.0013901248573302486	One-way analysis of means (not assuming equal variances)	0.0034450920377314858	CSR	-
X14	0.0026212150768252624	One-way analysis of means (not assuming equal variances)	0.004980308645967998	CSR	-
X15	1.4356823271411228e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	CSR	-
X16	0.009308243294229539	One-way analysis of means (not assuming equal variances)	0.012770020749138754	CSR	-
X17	0.035715035362962964	One-way analysis of means (not assuming equal variances)	0.0415460615446712	CSR	-
X18	0.036856370885790066	One-way analysis of means (not assuming equal variances)	0.04201626280980067	CSR	-
X19	2.3904392227609613e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	C	-
X2	0.001230852145376305	One-way analysis of means (not assuming equal variances)	0.0033408843945928277	CSR	-
X20	0.008757600167876998	One-way analysis of means (not assuming equal variances)	0.012770020749138754	CSR	-
X21	0.010732577040290089	One-way analysis of means (not assuming equal variances)	0.013903565711284888	CSR	-
X22	0.0031789323380547667	One-way analysis of means (not assuming equal variances)	0.005329386566738874	CSR	-
X23	0.016010243148718396	One-way analysis of means (not assuming equal variances)	0.01941667786121167	CSR	-
X24	0.0017391102109257524	One-way analysis of means (not assuming equal variances)	0.003812664693183381	CSR	-
X25	0.0011924014211839194	One-way analysis of means (not assuming equal variances)	0.0033408843945928277	CSR	-
X26	0.004899842337633259	One-way analysis of means (not assuming equal variances)	0.007548405763380966	R	-
X27	0.009409488973049608	One-way analysis of means (not assuming equal variances)	0.012770020749138754	CSR	-
X28	0.00478084817161981	One-way analysis of means (not assuming equal variances)	0.007548405763380966	CSR	-
X29	1.1000118920234686e-4	One-way analysis of means (not assuming equal variances)	0.0015675169461334428	CSR	-
X3	2.225564114448545e-5	One-way analysis of means (not assuming equal variances)	0.0010377772921979266	R	-
X30	2.217344519394721e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	CSR	-
X31	0.0024370862950611576	One-way analysis of means (not assuming equal variances)	0.004891805560272934	S	-
X32	0.05720147465763624	One-way analysis of means (not assuming equal variances)	0.060379334360838255	CSR	-
X33	2.933185463576291e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	R	-
X34	0.1783701539145534	One-way analysis of means (not assuming equal variances)	0.1783701539145534	CSR	-
X35	0.16528783655591864	One-way analysis of means (not assuming equal variances)	0.16823940506584575	CSR	-
X36	0.0017060687838662911	One-way analysis of means (not assuming equal variances)	0.003812664693183381	CSR	-
X37	0.01007095371518652	One-way analysis of means (not assuming equal variances)	0.013349868878270502	R	-
X38	8.01429638934569e-5	One-way analysis of means (not assuming equal variances)	0.0015227163139756813	CSR	-
X39	0.004172126639452923	One-way analysis of means (not assuming equal variances)	0.00679460624139476	R	-
X4	0.10141408865560199	One-way analysis of means (not assuming equal variances)	0.10510187369762387	CSR	-
X40	3.0447079460754414e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	CSR	-
X41	0.03851114516805623	One-way analysis of means (not assuming equal variances)	0.04304186812900403	CSR	-
X42	8.336976908791209e-4	One-way analysis of means (not assuming equal variances)	0.002640042687783883	CR	-
X43	0.0090914672052644	One-way analysis of means (not assuming equal variances)	0.012770020749138754	R	-
X44	0.0012929591646455442	One-way analysis of means (not assuming equal variances)	0.0033499396538543644	CSR	-
X45	8.187493557907806e-4	One-way analysis of means (not assuming equal variances)	0.002640042687783883	CSR	-
X46	7.37934352144186e-4	One-way analysis of means (not assuming equal variances)	0.0026288911295136623	R	-
X47	0.003141016858866716	One-way analysis of means (not assuming equal variances)	0.005329386566738874	CSR	-
X48	5.179807290412879e-4	One-way analysis of means (not assuming equal variances)	0.0021089215396681003	SR	-
X49	0.013769233960616127	One-way analysis of means (not assuming equal variances)	0.017061876864241723	CSR	-
X5	0.00704922828470313	One-way analysis of means (not assuming equal variances)	0.010573842427054695	CSR	-
X50	0.0028919339691252616	One-way analysis of means (not assuming equal variances)	0.005213800670323891	CSR	-
X51	0.0024888133552265807	One-way analysis of means (not assuming equal variances)	0.004891805560272934	CSR	-
X52	0.05021230944268672	One-way analysis of means (not assuming equal variances)	0.05504041611986814	CSR	-
X53	0.012643036043608457	One-way analysis of means (not assuming equal variances)	0.016014512321904043	CSR	-
X54	0.0012146796529417822	One-way analysis of means (not assuming equal variances)	0.0033408843945928277	CSR	-
X55	0.0016197730909052648	One-way analysis of means (not assuming equal variances)	0.003812664693183381	R	-
X56	0.053322682493017165	One-way analysis of means (not assuming equal variances)	0.05734703588871657	CSR	-
X57	2.905224587690668e-4	One-way analysis of means (not assuming equal variances)	0.0015777122993300013	CSR	-
X6	0.0029270459903572724	One-way analysis of means (not assuming equal variances)	0.005213800670323891	SR	-
X7	5.084470619629182e-4	One-way analysis of means (not assuming equal variances)	0.0021089215396681003	CR	-
X8	5.663853592377805e-4	One-way analysis of means (not assuming equal variances)	0.0021522643651035655	CSR	-
X9	0.0019215731132594899	One-way analysis of means (not assuming equal variances)	0.004056654350214479	R	-
